,ID,EN,CZ,EN_tokens,CZ_tokens
93,93,"Fundamentals of Machine Translation technology using Deep language analysis using the traditional ""Vauquois triangle"" have been presented, which now use advanced statistical and machine learning techniques. In addition, latest WMT 2015 Shared Task competition results for the en-cs pair have been shown in which the Chimera system created at UFAL MFF UK won.","Byly prezentovány základy strojového překladu s použitím hloubkové jazykové analýzy podle tradičního systému ""Vauquois trojúhelník"", s využitím moderních statistických metod a metod strojového učení. Rovněž byly ukázány poslední výsledky, kdy hybridní systém Chiméra vytvořený na ÚFAL MFF UK v rámci různých projektů zvítězil v soutěži en-cs překladačá na WMT 2015 Shared Task.","['fundament', 'machin', 'translat', 'technolog', 'use', 'deep', 'languag', 'analysi', 'use', 'tradit', 'vauquoi', 'triangl', 'present', 'use', 'advanc', 'statist', 'machin', 'learn', 'techniqu', 'addit', 'latest', 'wmt', 'share', 'task', 'competit', 'result', 'pair', 'shown', 'chimera', 'system', 'creat', 'ufal', 'mff', 'uk']","['prezentován', 'základ', 'stroj', 'překlad', 'použi', 'hloubk', 'jazyk', 'analýz', 'tradičn', 'syst', 'vauquois', 'trojúhelník', 'využi', 'modern', 'statistick', 'metod', 'metod', 'stroj', 'učen', 'rovněž', 'ukázán', 'posledn', 'výsledk', 'hybridn', 'sys', 'chimér', 'vytvořen', 'úfal', 'mff', 'uk', 'rámk', 'různ', 'projekt', 'zvítězil', 'soutěh', 'překladač', 'wmt', 'shared', 'task']"
94,94,"Technology Agency of the Czech Republic is less than six-years-old funding agency charged with promoting applied research and innovation. Its responsibility is to create programs, to be approved by the government, and then execute the whole lifecycle of each program -- from calls, ex-ante evaluation or proposals, handling the awards organizationally and financially throughout projects' execution, and performing ex-post evaluation of projects and the whole programs. While the ex-ante evaluation system has been described at AEA 2014, this year we plan to present results of a mid-term evaluation of a program for applied research in the area of social sciences and of the top program of the agency, the Centers of Competence program.","Technologická agentura České republiky již šest let poskytuje podporu v oblasti aplikovaného výzkumu. Je odpovědná za tvorbu programů v oblasti aplikovaného výzkumu. V prezentaci je představeno hodnocení programu Center kompetence TAČR, která byla hodnocena v polovině jejich existence.","['technolog', 'agenc', 'czech', 'republ', 'less', 'fund', 'agenc', 'charg', 'promot', 'appli', 'research', 'innov', 'respons', 'creat', 'program', 'approv', 'govern', 'execut', 'whole', 'lifecycl', 'program', 'call', 'evalu', 'propos', 'handl', 'award', 'organiz', 'financi', 'throughout', 'project', 'execut', 'perform', 'evalu', 'project', 'whole', 'program', 'evalu', 'system', 'describ', 'aea', 'year', 'plan', 'present', 'result', 'evalu', 'program', 'appli', 'research', 'area', 'social', 'scienc', 'top', 'program', 'agenc', 'center', 'compet', 'program']","['technologick', 'agentur', 'česk', 'republik', 'let', 'poskytuj', 'podpor', 'oblast', 'aplikovan', 'výzkum', 'odpovědn', 'tvorb', 'program', 'oblast', 'aplikovan', 'výzkum', 'prezentak', 'představen', 'hodnocen', 'program', 'center', 'kompetenk', 'tačr', 'hodnocen', 'polov', 'existenk']"
95,95,"EU Framework and Horizon 2020 projects carried out in the Institute of Formal and Applied Linguistics of the Faculty of Mathematics and Physics, Charles University in Prague, have been presented. ",V příspěvku byly prezentovány zušenosti Ústavu formáln a aplikované lingvistiky MFF UK s projekty v rámcových programech EU a zejména v programu Horizon 2020.,"['eu', 'framework', 'horizon', 'project', 'carri', 'institut', 'formal', 'appli', 'linguist', 'faculti', 'mathemat', 'physic', 'charl', 'univers', 'pragu', 'present']","['příspěvk', 'prezentován', 'zušenost', 'ústav', 'formáln', 'aplikovan', 'lingvistik', 'mff', 'uk', 'projekt', 'rámc', 'program', 'eu', 'zejmén', 'program', 'horizon']"
96,96,The talk presented activities in the area of language technology and specifically machine translation in the medical domain in the context of EC-funded projects.,Přednáška představila projekty a další aktivity v oblasti jazykových technologií a speciálně strojového překladu pro tématickou oblast medicíny a lékařství.,"['talk', 'present', 'activ', 'area', 'languag', 'technolog', 'specif', 'machin', 'translat', 'medic', 'domain', 'context', 'project']","['přednášk', 'představil', 'projekt', 'aktivit', 'oblast', 'jazyk', 'technologi', 'speciáln', 'stroj', 'překlad', 'tématick', 'oblast', 'medicín', 'lékařstv']"
97,97,"The project LINDAT/CLARIN (Building and operation of a Czech node of the pan-European infrastructure for research) is a Czech node of the international network Clarin ERIC (Common Language Resources and Technology Infrastructure), headquartered in Utrecht, Netherlands. The goal of Clarin is to provide open access to research data, technology and services.","Projekt výzkumné infrastruktury LINDAT/CLARIN (“Vybudování a provoz českého uzlu panevropské infrastruktury pro výzkum”) je koncipován jako český „uzel“ mezinárodní sítě Clarin (Common Language Resources and Technology Infrastructure), která je zřízena ve formě ERIC (Evropské konsorcium pro výzkumnou infrastrukturu) se sídlem v Utrechtu v Holandsku. Cílem Clarin ERIC je otevřený přístup k jazykovým datům a technologiím zejména pro humanitní a společenské obory. LINDAT/CLARIN je rovněž kompatibilní s technologickou sítí META-SHARE (http://www.meta-net.eu), která je zaměřená na jazykové technologie a aplikace, čímž tyto dvě oblasti propojuje. LINDAT/CLARIN shromažďuje, zpracovává, anotuje (manuálně a automaticky) a uchovává jazyková data v českém jazykovém prostředí a poskytuje softwarové nástroje pro vyhledávání, analýzu a syntézu přirozeného jazyka. Použitá technologie a její kvalita a rozšiřitelnost je přímo aplikovatelná jak v humanitních a společenských vědách a výzkumu (jazykověda a interdisciplinární výzkum s jazykovou složkou, jako například formální a počítačová lingvistika, translatologie, lexikografie, sociolingvistika, psychologie, sociologie, historie, literární vědy, neurolingvistika, kognitivní vědy, umělá inteligence a strojové učení), tak ve výzkumu a vývoji jazykových technologií založených na statistických metodách (zpracování přirozeného jazyka, rozpoznávání a syntéza řeči a kombinovaná analýza obrazu, textu a multimédií obecně, vč. text and data mining“, strojového překladu a extrakce informace).","['project', 'build', 'oper', 'czech', 'node', 'infrastructur', 'research', 'czech', 'node', 'intern', 'network', 'clarin', 'eric', 'common', 'languag', 'resourc', 'technolog', 'infrastructur', 'headquart', 'utrecht', 'netherland', 'goal', 'clarin', 'provid', 'open', 'access', 'research', 'data', 'technolog', 'servic']","['projekt', 'výzkumn', 'infrastruktur', 'vybudován', 'provoz', 'česk', 'uzl', 'panevropsk', 'infrastruktur', 'výzkum', 'koncipován', 'česk', 'uzel', 'mezinárodn', 'sít', 'clar', 'common', 'languag', 'resour', 'and', 'technolog', 'infrastructur', 'zřízen', 'form', 'eric', 'evropsk', 'konsorcium', 'výzkumn', 'infrastruktur', 'sídl', 'utrecht', 'holandsk', 'cíl', 'clar', 'eric', 'otevřen', 'přístup', 'jazyk', 'dat', 'technolog', 'zejmén', 'humanitn', 'společensk', 'obor', 'rovněž', 'kompatibiln', 'technologick', 'sít', 'http', 'zaměřen', 'jazyk', 'technologi', 'aplikak', 'čímž', 'oblast', 'propojuj', 'shromažďuj', 'zpracováv', 'anotuj', 'manuáln', 'automatick', 'uchováv', 'jazyk', 'dat', 'čes', 'jazyko', 'prostřed', 'poskytuj', 'softwar', 'nástroj', 'vyhledáván', 'analýz', 'syntéz', 'přirozen', 'jazyk', 'použit', 'technologi', 'kvalit', 'rozšiřitelnost', 'přím', 'aplikovateln', 'humanitn', 'společensk', 'věd', 'výzkum', 'jazykověd', 'interdisciplinárn', 'výzkum', 'jazyk', 'složk', 'například', 'formáln', 'počítač', 'lingvistik', 'translatologi', 'lexikografi', 'sociolingvistik', 'psychologi', 'sociologi', 'histori', 'literárn', 'věd', 'neurolingvistik', 'kognitivn', 'věd', 'uměl', 'inteligenk', 'stroj', 'učen', 'výzkum', 'vývoj', 'jazyk', 'technologi', 'založen', 'statistick', 'metod', 'zpracován', 'přirozen', 'jazyk', 'rozpoznáván', 'syntéz', 'řek', 'kombinovan', 'analýz', 'obraz', 'text', 'multimédi', 'obecn', 'vč', 'text', 'and', 'dat', 'mining', 'stroj', 'překlad', 'extrakk', 'informak']"
98,98,"Machine Translation is as old as the field of Computational Linguistics itself. It is also a problem that has been predicted to „be solved in the next five years“ many times, but in fact it is not yet solved today. Machine translation has been naively considered a simple problem solvable by simple statistical means, then studied in depth by complicated but unsuccessful detailed sets of rules trying to describe all details of natural language use, only to return to statistical approach on a completely different level, using a combination of linguistic analysis and powerful machine learning algorithms.","Strojový překlad přirozených jazyků je problém stejně starý jako počítačová lingvistika samotná, a v jejím rámci je to problém, který byl mnohokrát podceněn jak z hlediska metodologického, tak z hlediska doby potřebné k jeho vyřešení – a ani dnes vyřešen není. Pohled na překlad prošel vývojovou spirálou od primitivních pokusů o jednoduché statistické řešení přes nesmírně komplikované algoritmy popisující všechny detaily a výjimky v přirozeném jazyce až k dnešním přístupům, které kombinují statistický a lingvistický přístup.","['machin', 'translat', 'old', 'field', 'comput', 'linguist', 'also', 'problem', 'predict', 'solv', 'next', 'five', 'year', 'mani', 'time', 'fact', 'yet', 'solv', 'today', 'machin', 'translat', 'naiv', 'consid', 'simpl', 'problem', 'solvabl', 'simpl', 'statist', 'mean', 'studi', 'depth', 'complic', 'unsuccess', 'detail', 'set', 'rule', 'tri', 'describ', 'detail', 'natur', 'languag', 'use', 'return', 'statist', 'approach', 'complet', 'differ', 'level', 'use', 'combin', 'linguist', 'analysi', 'power', 'machin', 'learn', 'algorithm']","['stroj', 'překlad', 'přirozen', 'jazyk', 'prob', 'stejn', 'star', 'počítač', 'lingvistik', 'samotn', 'je', 'rámk', 'prob', 'mnohokrát', 'podceněn', 'hledisk', 'metodologick', 'hledisk', 'dob', 'potřebn', 'vyřešen', 'vyřešen', 'pohled', 'překlad', 'prošel', 'vývoj', 'spirál', 'primitivn', 'pokus', 'jednoduch', 'statistick', 'řešen', 'nesmírn', 'komplikovan', 'algoritm', 'popisujíc', 'všechn', 'detail', 'výjimk', 'přiroze', 'jazyk', 'dneš', 'přístup', 'kombinuj', 'statistick', 'lingvistick', 'přístup']"
99,99,"LINDAT/CLARIN, as a node of the pan-European research infrastructure Clarin ERIC, has been presented. Its repository has been featured together with data archivation techniques and related web services and applications.","V přednášce byl prezentován LINDAT/CLARIN jako uzel mezinárodní infrastrukturní sítě Clarin ERIC. Zejména byl prezentován repozitář LINDAT/CLARIN a jeho možnosti ukládání a archivace jazykových a jiných dat, a s ním spojené služby.","['node', 'research', 'infrastructur', 'clarin', 'eric', 'present', 'repositori', 'featur', 'togeth', 'data', 'archiv', 'techniqu', 'relat', 'web', 'servic', 'applic']","['přednášk', 'prezentován', 'uzel', 'mezinárodn', 'infrastrukturn', 'sít', 'clar', 'eric', 'zejmén', 'prezentován', 'repozitář', 'možnost', 'ukládán', 'archivak', 'jazyk', 'jin', 'dat', 'spojen', 'služb']"
100,100,"Presented were existing syntactically analyzed treebanks, such as the Penn Treebank and the Prague family of dependency Treebanks, and their relation to Multiword Expressions.","V přednášce byly prezentovány známé a používané korpusy se zachycenou syntaktickou analýzou (Penn Treebank, Pražské závislostní korpusy) a jejich vztah k analýze váceslovných výrazů.","['present', 'exist', 'syntact', 'analyz', 'treebank', 'penn', 'treebank', 'pragu', 'famili', 'depend', 'treebank', 'relat', 'multiword', 'express']","['přednášk', 'prezentován', 'znám', 'používan', 'korpus', 'zachycen', 'syntaktick', 'analýz', 'penn', 'treebank', 'pražsk', 'závislostn', 'korpus', 'vztah', 'analýh', 'váceslovn', 'výraz']"
101,101,"Licence agreement between Charles University in Prague and Google Inc., effective Dec. 2, 2014, duration unless terminated, PO No. 270122, invoiced Jan. 2, 2015. The license covers the right to use the data of PDT 2.5 and the associated software ""MorphoDiTa"" for morphological tagging, for commercial purposes. The same data and software is otherwise available for free through the LINDAT/CLARIN repository for non-commercial use under the appropriate variant of the Creative COmmons license.","Licence mezi UK v Praze a Google Inc., platná od 2. 12. 2014 na dobu neurčitou, PO 270122, fakturováno 2. 1. 2015. Obsahuje právo na užití dat PDT 2.5 a asociovaného software ""MorphoDiTa"" pro morfologické značkování na základě PDT 2.5, a to pro komerční účely. Jedná se o identické verze uložené v repozitáři LINDAT/CLARIN s nekomerční licencí typu Creative Commons. ","['licenc', 'agreement', 'charl', 'univers', 'pragu', 'googl', 'effect', 'durat', 'unless', 'termin', 'po', 'invoic', 'licens', 'cover', 'right', 'use', 'data', 'pdt', 'associ', 'softwar', 'morphodita', 'morpholog', 'tag', 'commerci', 'purpos', 'data', 'softwar', 'otherwis', 'avail', 'free', 'repositori', 'use', 'appropri', 'variant', 'creativ', 'common', 'licens']","['licenk', 'uk', 'prah', 'googl', 'platn', 'dob', 'neurčit', 'fakturován', 'obsahuj', 'práv', 'užit', 'dat', 'pdt', 'asociovan', 'softwar', 'morphodit', 'morfologick', 'značkován', 'základ', 'pdt', 'komerčn', 'účel', 'jedn', 'identick', 'verh', 'uložen', 'repozitář', 'nekomerčn', 'licenc', 'typ', 'creativ', 'commons']"
102,102,The aim of the present contribution is to put under scrutiny the ways in which the so-called deletions of elements in the surface shape of the sentence are treated in syntactically annotated corpora and to attempt at a categorization of deletions within a multilevel annotation scheme.,"Cílem tohoto příspěvku je podrobně prozkoumat, jak se v syntakticky anotovaných korpusech zachází s prvky věty, které jsou na povrchu vypuštěné, a pokusit se o kategorizaci výpustek v rámci víceúrovňového anotačního schématu.","['aim', 'present', 'contribut', 'put', 'scrutini', 'way', 'delet', 'element', 'surfac', 'shape', 'sentenc', 'treat', 'syntact', 'annot', 'corpora', 'attempt', 'categor', 'delet', 'within', 'multilevel', 'annot', 'scheme']","['cíl', 'příspěvk', 'podrobn', 'prozkoum', 'syntaktick', 'anotovan', 'korpus', 'zacház', 'prvk', 'vět', 'povrch', 'vypuštěn', 'pokusit', 'kategorizak', 'výpustek', 'rámk', 'víceúrovň', 'anotačn', 'schémat']"
103,103,Project Amalach has resulted in software for cross=language search in the VHA archive. It also resulted in the Czech version of the VHA thesaurus. The talk has presented the topic of audio search in the VHA archive.,Projekt Amalach vytvořil software pro prohledávání nahrávek archivu VHA v češtině a angličtině. Součástí projektu byl rovněž překlad tezauru použitého pro indexaci archivu. Přednáška uvedla celou problematiku vyhledávání a audioarchivu VHA.,"['project', 'amalach', 'result', 'softwar', 'search', 'vha', 'archiv', 'also', 'result', 'czech', 'version', 'vha', 'thesauru', 'talk', 'present', 'topic', 'audio', 'search', 'vha', 'archiv']","['projekt', 'amalach', 'vytvořil', 'softwar', 'prohledáván', 'nahrávek', 'archiv', 'vha', 'česk', 'anglick', 'součást', 'projekt', 'rovněž', 'překlad', 'tezaur', 'použit', 'indexak', 'archiv', 'přednášk', 'uvedl', 'cel', 'problematik', 'vyhledáván', 'audioarchiv', 'vha']"
104,104,"Obituary of prof. dr. František Daneš,DrSc. A survay of his wide scale of linguistic interests and of his important contributions to the Czech and word linguistics.","Nekrolog významného českého lingvisty prof. dr. Františka Daneše, DrSc. Zamyšlení nad rozpětím jeho zájmů a nad jeho přínosy české a světové lingvistice.","['obituari', 'františek', 'daneš', 'drsc', 'survay', 'wide', 'scale', 'linguist', 'interest', 'import', 'contribut', 'czech', 'word', 'linguist']","['nekrolog', 'významn', 'česk', 'lingvist', 'františk', 'daneš', 'drsc', 'zamyšlen', 'rozpě', 'zájm', 'přínos', 'česk', 'svět', 'lingvistik']"
105,105,Czech adverbial constructions introduced by the expressions jako and než are understood as grmmaticalized ellipsis. Their undelying structures are proposed in the shape of reconstructed constructions containing either the repeated items from the governing predication or by the new artfitial nodes with general semantics.,"Srovnávací struktury uvozené v češtině výrazy jako a než se reprezentují jako gramatikalizované elipsy, jejichž zdrojem jsou rekonstruované predikační struktury s opakováním slov z řídící predikace nebo zastoupené umělým uzlem s obecnou sémantickou platností. Dále se analyzuje srovnání uvozeneé sekundárními předložkami. ","['czech', 'adverbi', 'construct', 'introduc', 'express', 'jako', 'než', 'understood', 'grmmatic', 'ellipsi', 'und', 'structur', 'propos', 'shape', 'reconstruct', 'construct', 'contain', 'either', 'repeat', 'item', 'govern', 'predic', 'new', 'artfiti', 'node', 'gener', 'semant']","['srovnávac', 'struktur', 'uvozen', 'česk', 'výraz', 'reprezentuj', 'gramatikalizovan', 'elips', 'jejichž', 'zdroj', 'rekonstruovan', 'predikačn', 'struktur', 'opaková', 'slov', 'řídíc', 'predikak', 'zastoupen', 'uměl', 'uzl', 'obecn', 'sémantick', 'platnost', 'analyzuj', 'srovnán', 'uvozene', 'sekundárn', 'předložk']"
106,106,"In this contribution the treatment of selected types of deletions in Czech are presented. The pro-dropped constructions,absent subjects in controlled infinitive constructions, selected types of Czech ""small clauses"" and comparison constructions are analyzed and exemplified. ","V příspěvku se prezentuje způsob zachycení vybraných typů elips v češtině v rámci FGP. Jde zejména o vypouštění zájmenného subjektu v 1. a 2. osobě, o nepřítomnost subjektu v kontrolovaných infinitivních konstrukcích,o konstrukce uvozené ""kromě"" a ""místo"" a o srovnávací konstrukce.","['contribut', 'treatment', 'select', 'type', 'delet', 'czech', 'present', 'construct', 'absent', 'subject', 'control', 'infinit', 'construct', 'select', 'type', 'czech', 'small', 'claus', 'comparison', 'construct', 'analyz', 'exemplifi']","['příspěvk', 'prezentuj', 'způsob', 'zachycen', 'vybran', 'typ', 'elips', 'česk', 'rámk', 'fgp', 'zejmén', 'vypouštěn', 'zájmenn', 'subjekt', 'osob', 'nepřítomnost', 'subjekt', 'kontrolovan', 'infinitivn', 'konstrukc', 'konstrukk', 'uvozen', 'míst', 'srovnávac', 'konstrukk']"
107,107,"Presentation covers PML format and tools using it (Treex, PML-TQ, TrEd). Using real annotated data as examples representation of constructions and searching for them using the tools was demonstrated.","Prezentace pokrývá formát PML (Prague Markup Language) pro reprezentaci liongvistických dat, nástroje pracující s tímto formátem (Treex, TrEd, PML-TQ) a na příkladech anotovaných dat ukazuje využití PML a nástrojů pro reprezentaci a vyhledávání lingvistických jevů.","['present', 'cover', 'pml', 'format', 'tool', 'use', 'treex', 'tred', 'use', 'real', 'annot', 'data', 'exampl', 'represent', 'construct', 'search', 'use', 'tool', 'demonstr']","['prezentak', 'pokrýv', 'formát', 'pml', 'pragu', 'markup', 'languag', 'reprezentak', 'liongvistick', 'dat', 'nástroj', 'pracujíc', 'formát', 'treex', 'tred', 'příklad', 'anotovan', 'dat', 'ukazuj', 'využit', 'pml', 'nástroj', 'reprezentak', 'vyhledáván', 'lingvistick', 'jev']"
108,108,"In this paper, we tackle the problem of domain adaptation of statistical machine translation (SMT) by exploiting domain-specific data acquired by domain-focused crawling of text from the World Wide Web. We design and empirically evaluate a procedure for auto- matic acquisition of monolingual and parallel text and their exploitation for system training, tuning, and testing in a phrase-based SMT framework. We present a strategy for using such resources depending on their availability and quantity supported by results of a large-scale evaluation carried out for the domains of environment and labour legislation, two language pairs (English–French and English–Greek) and in both directions: into and from English. In general, MT systems trained and tuned on a general domain perform poorly on specific domains and we show that such systems can be adapted successfully by retuning model parameters using small amounts of parallel in-domain data, and may be further improved by using additional monolingual and parallel training data for adaptation of language and translation models. The average observed improvement in BLEU achieved is substantial at 15.30 points absolute.","V tomto článku se zabýváme problémem doménové adaptace statistického strojového překladu (SMT) s využitím doménově specifických dat získaných cíleným prohledáváním (crawling) v Internetu. Navrhujeme a empiricky vyhodnocujeme proces automatického získávání jednojazyčných a paralelních textů, stejně jako jejich využití v trénování, optimalizaci i testování v rámci frázového SMT. Navrhujeme strategii, jak tyto zdroje využít v závislosti na jejich dostupnosti a množství, která ja podpořena výsledky rozsáhlé evaluace. Ta byla provedena v doménách legislativy pro životní prostředí a práci, ve dvou jazykových párech (angličtina-francouzština a angličtina-řečtina) a v obou směrem: z angličtiny i do angličtiny. Obecně lze tvrdit, že systémy SMT trénované a optimalizované na datech z obecné domény na specifických doménách dosahují špatných výsledků. Ukazujeme, že takové systémy lze úspěšně adaptovat optimalizací parametrů modelu s využitím malého množství paralelních dat z cílové domény, a dále je lze zlepšit přidáním jednojazyčných i paralelních dat pro adaptaci jazykového, resp. překladového modelu. Průměrné pozorované zlepšení v BLEU o 15,3 absolutních bodů je významné.","['paper', 'tackl', 'problem', 'domain', 'adapt', 'statist', 'machin', 'translat', 'smt', 'exploit', 'data', 'acquir', 'crawl', 'text', 'world', 'wide', 'web', 'design', 'empir', 'evalu', 'procedur', 'matic', 'acquisit', 'monolingu', 'parallel', 'text', 'exploit', 'system', 'train', 'tune', 'test', 'smt', 'framework', 'present', 'strategi', 'use', 'resourc', 'depend', 'avail', 'quantiti', 'support', 'result', 'evalu', 'carri', 'domain', 'environ', 'labour', 'legisl', 'two', 'languag', 'pair', 'direct', 'english', 'gener', 'mt', 'system', 'train', 'tune', 'gener', 'domain', 'perform', 'poorli', 'specif', 'domain', 'show', 'system', 'adapt', 'success', 'retun', 'model', 'paramet', 'use', 'small', 'amount', 'parallel', 'data', 'may', 'improv', 'use', 'addit', 'monolingu', 'parallel', 'train', 'data', 'adapt', 'languag', 'translat', 'model', 'averag', 'observ', 'improv', 'bleu', 'achiev', 'substanti', 'point', 'absolut']","['zabývám', 'problém', 'domén', 'adaptak', 'statistick', 'stroj', 'překlad', 'smt', 'využi', 'domén', 'specifick', 'dat', 'získan', 'cílen', 'prohledává', 'crawling', 'internet', 'navrhujem', 'empirick', 'vyhodnocujem', 'pro', 'automatick', 'získáván', 'jednojazyčn', 'paraleln', 'text', 'stejn', 'využit', 'trénován', 'optimalizak', 'testován', 'rámk', 'fráz', 'smt', 'navrhujem', 'strategi', 'zdroj', 'využít', 'závislost', 'dostupnost', 'množstv', 'ja', 'podpořen', 'výsledk', 'rozsáhl', 'evaluak', 'proveden', 'domén', 'legislativ', 'životn', 'prostřed', 'prák', 'dvo', 'jazyk', 'pár', 'obo', 'směr', 'anglick', 'anglick', 'obecn', 'lze', 'tvrdit', 'systém', 'smt', 'trénovan', 'optimalizovan', 'dat', 'obecn', 'domén', 'specifick', 'domén', 'dosahuj', 'špatn', 'výsledk', 'ukazujem', 'tak', 'systém', 'lze', 'úspěšn', 'adapt', 'optimalizac', 'parametr', 'model', 'využi', 'mal', 'množstv', 'paraleln', 'dat', 'cíl', 'domén', 'lze', 'zlepšit', 'přidá', 'jednojazyčn', 'paraleln', 'dat', 'adaptak', 'jazyk', 'překlad', 'model', 'průměrn', 'pozorovan', 'zlepšen', 'ble', 'absolutn', 'bod', 'významn']"
109,109,A webservice supporting indexation of book table of contents. For the National Technical Library.,Webová služba pro podporu indexování naskenovaných obsahů knih. Pro Národní technickou knihovnu.,"['webservic', 'support', 'index', 'book', 'tabl', 'content', 'nation', 'technic', 'librari']","['webov', 'služb', 'podpor', 'indexován', 'naskenovan', 'obsah', 'knih', 'národn', 'technick', 'knihovn']"
110,110,"CzEngVallex is a bilingual valency lexicon of corresponding Czech and English verbs. It connects 20835 aligned valency frame pairs (verb senses) which are translations of each other, aligning their arguments as well. The CzEngVallex serves as a powerful, real-text-based database of frame-to-frame and subsequently argument-to-argument pairs and can be used for example for machine translation applications. It uses the data from the Prague Czech-English Dependency Treebank project. ","CzEngVallex je dvojjazyčný valenční slovník, který obsahuje provázané dvojice českých a anglických sloves. Zahrnuje 20835 odpovídajících slovesných dvojic (překladových ekvivalentů) valenčních rámců (významů slovesa) a zachycuje také propojení jejich argumentů. Tato databáze dvojic rámců a jejich argumentů je založena na reálných textech a může být využita například v aplikacích pro strojový překlad. ","['czengvallex', 'bilingu', 'valenc', 'lexicon', 'correspond', 'czech', 'english', 'verb', 'connect', 'align', 'valenc', 'frame', 'pair', 'verb', 'sens', 'translat', 'align', 'argument', 'well', 'czengvallex', 'serv', 'power', 'databas', 'subsequ', 'pair', 'use', 'exampl', 'machin', 'translat', 'applic', 'use', 'data', 'pragu', 'depend', 'treebank', 'project']","['czengvallex', 'dvojjazyčn', 'valenčn', 'slovník', 'obsahuj', 'provázan', 'dvojik', 'česk', 'anglick', 'slo', 'zahrnuj', 'odpovídajíc', 'slovesn', 'dvojic', 'překlad', 'ekvivalent', 'valenčn', 'rámc', 'význam', 'sloves', 'zachycuj', 'propojen', 'argument', 'databáh', 'dvojic', 'rámc', 'argument', 'založen', 'reáln', 'text', 'využit', 'například', 'aplikac', 'stroj', 'překlad']"
111,111,This report presents a guideline for building a valency lexicon (CzEngVallex) of Czech and English verbs based on the parallel dependency corpus (PCEDT) and two existing valency lexicons: PDT-Vallex a EngVallex.,"Technická zprava shrnuje pravidla pro tvorbu valenčního slovníku (CzEngVallexu) českých a anglických sloves, budovaného na základě paralelního závislostního korpusu (PCEDT) a dvou existujících valenčních slovníků: PDT-Vallexu a EngVallexu.","['report', 'present', 'guidelin', 'build', 'valenc', 'lexicon', 'czengvallex', 'czech', 'english', 'verb', 'base', 'parallel', 'depend', 'corpu', 'pcedt', 'two', 'exist', 'valenc', 'lexicon', 'engvallex']","['technick', 'zprav', 'shrnuj', 'pravidl', 'tvorb', 'valenčn', 'slovník', 'czengvallex', 'česk', 'anglick', 'slo', 'budovan', 'základ', 'paraleln', 'závislostn', 'korpus', 'pcedt', 'dvo', 'existujíc', 'valenčn', 'slovník', 'engvallex']"
112,112,"This paper presents a resource and the associated annotation process used in a project of interlinking Czech and English verbal translational equivalents based on a parallel, richly annotated dependency treebank containing also valency and semantic roles, namely the Prague Czech-English Dependency Treebank. One of the main aims of this project is to create a high-quality and relatively large empirical base which could be used both for linguistic comparative research as well as for natural language processing applications, such as machine translation or cross-language sense disambiguation. This paper describes the resulting lexicon, CzEngVallex, and the process of building it, as well some interesting observations and statistics already obtained. ","Příspěvek popisuje budování dvojjazyčného valenčního anglicko-českého slovníku CzEngVallex, budovaného na základě paralelního překladového Pražského česko-anglického závislostního korpusu. Díky propojení s korpusovými daty bude možné slovník využívat jak pro lingvistický výzkum, tak pro NLP aplikace.","['paper', 'present', 'resourc', 'associ', 'annot', 'process', 'use', 'project', 'interlink', 'czech', 'english', 'verbal', 'translat', 'equival', 'base', 'parallel', 'richli', 'annot', 'depend', 'treebank', 'contain', 'also', 'valenc', 'semant', 'role', 'name', 'pragu', 'depend', 'treebank', 'one', 'main', 'aim', 'project', 'creat', 'rel', 'larg', 'empir', 'base', 'could', 'use', 'linguist', 'compar', 'research', 'well', 'natur', 'languag', 'process', 'applic', 'machin', 'translat', 'sens', 'disambigu', 'paper', 'describ', 'result', 'lexicon', 'czengvallex', 'process', 'build', 'well', 'interest', 'observ', 'statist', 'alreadi', 'obtain']","['příspěvek', 'popisuj', 'budován', 'dvojjazyčn', 'valenčn', 'slovník', 'czengvallex', 'budovan', 'základ', 'paraleln', 'překlad', 'pražsk', 'závislostn', 'korpus', 'dík', 'propojen', 'korpus', 'dat', 'možn', 'slovník', 'využív', 'lingvistick', 'výzkum', 'nlp', 'aplikak']"
